Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més,Any
250788,Corbins,132,532,123,100,394,163,232,926,286,
170577,Corçà,123,380,143,86,380,155,209,760,298,
80734,Cornellà de Llobregat,6592,28862,7491,6448,28951,10248,13040,57813,17739,
170561,Cornellà del Terri,200,761,236,194,728,245,394,1489,481,
430496,Cornudella de Montsant,51,354,100,53,266,117,104,620,217,
430509,Creixell,278,1164,403,251,1077,469,529,2241,872,
170583,Crespià,20,83,24,18,68,33,38,151,57,
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",90,425,125,92,421,126,182,846,251,
80749,Cubelles,1320,5191,1176,1243,5008,1391,2563,10199,2567,
250791,Cubells,14,115,51,15,92,56,29,207,107,
430516,Cunit,916,4062,1369,976,4054,1575,1892,8116,2944,
170600,Darnius,28,180,65,32,162,79,60,342,144,
170617,Das,21,91,19,28,71,23,49,162,42,
439018,Deltebre,822,3823,1143,775,3520,1399,1597,7343,2542,
80752,Dosrius,482,1958,340,476,1836,389,958,3794,729,
430537,Duesaigües,14,97,29,10,65,30,24,162,59,
170622,"Escala, l'",727,3428,1112,680,3230,1162,1407,6658,2274,
80765,Esparreguera,1836,7754,1659,1731,7253,2018,3567,15007,3677,
170638,Espinelves,12,79,19,16,64,25,28,143,44,
250812,"Espluga Calba, l'",15,103,53,18,88,64,33,191,117,
430542,"Espluga de Francolí, l'",247,1233,344,269,1167,495,516,2400,839,
80771,Esplugues de Llobregat,3416,14283,4601,3114,15175,6091,6530,29458,10692,
170643,Espolla,27,116,60,20,129,64,47,245,124,
170656,Esponellà,41,133,50,36,122,56,77,255,106,
250827,Espot,17,141,35,25,114,32,42,255,67,
80787,"Espunyola, l'",14,83,29,12,80,36,26,163,65,
82541,"Esquirol, l'",141,723,241,141,664,271,282,1387,512,
250886,Estamariu,10,32,26,6,28,16,16,60,42,
80790,"Estany, l'",33,125,47,19,111,71,52,236,118,
250851,Estaràs,8,47,30,10,49,18,18,96,48,
250864,Esterri d'Àneu,43,276,45,55,278,75,98,554,120,
250870,Esterri de Cardós,5,27,5,5,21,7,10,48,12,
430555,Falset,234,902,276,211,867,344,445,1769,620,
170059,"Far d'Empordà, el",51,205,49,51,184,59,102,389,108,
250899,Farrera,6,44,15,8,33,10,14,77,25,
430568,"Fatarella, la",37,277,144,57,243,183,94,520,327,
